Hourly Obs

Month/Year: 02/2010
Station Location: CONCORD MUNICIPAL AIRPORT (14745)
Lat: 43.195
Lon: -71.501
Elev: 346 ft. above sea level
WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
14745,20100201,0051,11,FEW095, ,10.00, , , ,21, ,-6.1, ,17, ,-8.1, ,7, ,-13.9, , 55, , 6, ,250, , , ,29.58, ,8, ,004, ,29.96, ,AA, , , ,29.95, 
14745,20100201,0151,11,CLR, ,10.00, , , ,20, ,-6.7, ,17, ,-8.5, ,7, ,-13.9, , 57, , 8, ,220, , , ,29.58, , , , , ,29.96, ,AA, , , ,29.95, 
14745,20100201,0251,11,SCT041 BKN055, ,10.00, , , ,19, ,-7.2, ,16, ,-8.9, ,7, ,-13.9, , 59, , 7, ,240, , , ,29.59, , , , , ,29.97, ,AA, , , ,29.96, 
14745,20100201,0351,11,CLR, ,10.00, , , ,18, ,-7.8, ,15, ,-9.1, ,8, ,-13.3, , 65, , 7, ,230, , , ,29.59, ,3, ,004, ,29.98, ,AA, , , ,29.96, 
14745,20100201,0451,11,CLR, ,10.00, , , ,18, ,-7.8, ,16, ,-9.0, ,9, ,-12.8, , 68, , 6, ,240, , , ,29.60, , , , , ,29.98, ,AA, , , ,29.97, 
14745,20100201,0551,11,CLR, ,10.00, , , ,18, ,-7.8, ,16, ,-9.0, ,9, ,-12.8, , 68, , 7, ,230, , , ,29.62, , , , , ,30.01, ,AA, , , ,29.99, 
14745,20100201,0651,11,CLR, ,10.00, , , ,17, ,-8.3, ,15, ,-9.4, ,9, ,-12.8, , 71, , 5, ,230, , , ,29.64, ,3, ,018, ,30.03, ,AA, , , ,30.01, 
14745,20100201,0751,11,CLR, ,10.00, , , ,20, ,-6.7, ,17, ,-8.1, ,10, ,-12.2, , 65, , 8, ,260, , , ,29.67, , , , , ,30.06, ,AA, , , ,30.04, 
14745,20100201,0851,11,CLR, ,10.00, , , ,24, ,-4.4, ,20, ,-6.8, ,8, ,-13.3, , 50, ,16, ,290, ,25, ,29.69, , , , , ,30.08, ,AA, , , ,30.06, 
14745,20100201,0951,11,BKN041, ,10.00, , , ,26, ,-3.3, ,21, ,-5.8, ,10, ,-12.2, , 51, , 8, ,330, ,22, ,29.71, ,3, ,023, ,30.10, ,AA, , , ,30.08, 
14745,20100201,1051,11,CLR, ,10.00, , , ,27, ,-2.8, ,21, ,-6.0, ,5, ,-15.0, , 39, ,17, ,290, ,24, ,29.72, , , , , ,30.10, ,AA, , , ,30.09, 
14745,20100201,1151,11,CLR, ,10.00, , , ,29, ,-1.7, ,22, ,-5.6, ,1, ,-17.2, , 30, ,10, ,270, ,20, ,29.71, , , , , ,30.10, ,AA, , , ,30.08, 
14745,20100201,1251,11,CLR, ,10.00, , , ,30, ,-1.1, ,22, ,-5.7, ,-5, ,-20.6, , 21, ,14, ,300, ,24, ,29.69, ,8, ,010, ,30.07, ,AA, , , ,30.06, 
14745,20100201,1351,11,CLR, ,10.00, , , ,31, ,-0.6, ,23, ,-5.0, ,-0, ,-17.8, , 26, ,13, ,290, , , ,29.66, , , , , ,30.05, ,AA, , , ,30.03, 
14745,20100201,1451,11,CLR, ,10.00, , , ,31, ,-0.6, ,23, ,-5.1, ,-2, ,-18.9, , 24, ,11, ,270, ,20, ,29.67, , , , , ,30.06, ,AA, , , ,30.04, 
14745,20100201,1551,11,CLR, ,10.00, , , ,30, ,-1.1, ,22, ,-5.5, ,-2, ,-18.9, , 25, ,14, ,250, ,18, ,29.67, ,5, ,004, ,30.06, ,AA, , , ,30.04, 
14745,20100201,1651,11,CLR, ,10.00, , , ,27, ,-2.8, ,20, ,-6.7, ,-3, ,-19.4, , 27, , 7, ,270, , , ,29.70, , , , , ,30.09, ,AA, , , ,30.07, 
14745,20100201,1751,11,CLR, ,10.00, , , ,25, ,-3.9, ,19, ,-7.3, ,-1, ,-18.3, , 32, , 9, ,260, ,20, ,29.73, , , , , ,30.11, ,AA, , , ,30.10, 
14745,20100201,1851,11,CLR, ,10.00, , , ,23, ,-5.0, ,18, ,-8.0, ,-0, ,-17.8, , 36, , 6, ,280, , , ,29.75, ,1, ,025, ,30.14, ,AA, , , ,30.12, 
14745,20100201,1951,11,CLR, ,10.00, , , ,22, ,-5.6, ,17, ,-8.1, ,3, ,-16.1, , 44, , 8, ,220, , , ,29.75, , , , , ,30.14, ,AA, , , ,30.12, 
14745,20100201,2051,11,CLR, ,10.00, , , ,22, ,-5.6, ,18, ,-7.9, ,5, ,-15.0, , 48, , 9, ,250, , , ,29.75, , , , , ,30.14, ,AA, , , ,30.12, 
14745,20100201,2151,11,CLR, ,10.00, , , ,22, ,-5.6, ,18, ,-7.9, ,5, ,-15.0, , 48, , 8, ,270, , , ,29.74, ,8, ,002, ,30.13, ,AA, , , ,30.11, 
14745,20100201,2251,11,CLR, ,10.00, , , ,20, ,-6.7, ,16, ,-8.6, ,6, ,-14.4, , 54, , 5, ,210, , , ,29.75, , , , , ,30.13, ,AA, , , ,30.12, 
14745,20100201,2351,11,CLR, ,10.00, , , ,16, ,-8.9, ,14, ,-10.2, ,6, ,-14.4, , 64, , 5, ,210, , , ,29.76, , , , , ,30.15, ,AA, , , ,30.13, 
14745,20100202,0051,11,CLR, ,10.00, , , ,19, ,-7.2, ,16, ,-8.7, ,8, ,-13.3, , 62, , 7, ,240, , , ,29.77, ,3, ,011, ,30.16, ,AA, , , ,30.14, 
14745,20100202,0151,11,CLR, ,10.00, , , ,18, ,-7.8, ,15, ,-9.1, ,8, ,-13.3, , 65, , 3, ,200, , , ,29.79, , , , , ,30.17, ,AA, , , ,30.16, 
14745,20100202,0251,11,CLR, ,10.00, , , ,16, ,-8.9, ,14, ,-10.1, ,7, ,-13.9, , 67, , 5, ,210, , , ,29.80, , , , , ,30.19, ,AA, , , ,30.17, 
14745,20100202,0351,11,CLR, ,10.00, , , ,17, ,-8.3, ,15, ,-9.5, ,8, ,-13.3, , 68, , 5, ,240, , , ,29.81, ,1, ,012, ,30.19, ,AA, , , ,30.18, 
14745,20100202,0451,11,CLR, ,10.00, , , ,9, ,-12.8, ,8, ,-13.1, ,6, ,-14.4, , 87, , 5, ,140, , , ,29.82, , , , , ,30.21, ,AA, , , ,30.19, 
14745,20100202,0551,11,CLR, ,10.00, , , ,11, ,-11.7, ,10, ,-12.2, ,6, ,-14.4, , 80, , 5, ,250, , , ,29.83, , , , , ,30.22, ,AA, , , ,30.20, 
14745,20100202,0651,11,FEW028, ,10.00, , , ,8, ,-13.3, ,7, ,-13.7, ,4, ,-15.6, , 84, , 5, ,080, , , ,29.83, ,1, ,008, ,30.22, ,AA, , , ,30.20, 
14745,20100202,0751,11,CLR, ,10.00, , , ,10, ,-12.2, ,9, ,-12.7, ,6, ,-14.4, , 84, , 0, ,000, , , ,29.85, , , , , ,30.25, ,AA, , , ,30.23, 
14745,20100202,0851,11,CLR, ,10.00, , , ,18, ,-7.8, ,16, ,-8.9, ,10, ,-12.2, , 71, , 0, ,000, , , ,29.88, , , , , ,30.27, ,AA, , , ,30.25, 
14745,20100202,0951,11,CLR, ,10.00, , , ,22, ,-5.6, ,19, ,-7.2, ,11, ,-11.7, , 63, , 0, ,000, , , ,29.88, ,1, ,016, ,30.27, ,AA, , , ,30.25, 
14745,20100202,1051,11,CLR, ,10.00, , , ,24, ,-4.4, ,20, ,-6.6, ,10, ,-12.2, , 55, , 0, ,000, , , ,29.85, , , , , ,30.25, ,AA, , , ,30.23, 
14745,20100202,1151,11,FEW036, ,10.00, , , ,27, ,-2.8, ,22, ,-5.4, ,10, ,-12.2, , 49, , 0, ,000, , , ,29.83, , , , , ,30.22, ,AA, , , ,30.20, 
14745,20100202,1251,11,CLR, ,10.00, , , ,28, ,-2.2, ,23, ,-5.1, ,10, ,-12.2, , 47, , 6, ,170, , , ,29.80, ,8, ,026, ,30.19, ,AA, , , ,30.17, 
14745,20100202,1351,11,CLR, ,10.00, , , ,28, ,-2.2, ,23, ,-5.2, ,9, ,-12.8, , 45, , 0, ,000, , , ,29.78, , , , , ,30.17, ,AA, , , ,30.15, 
14745,20100202,1451,11,FEW100, ,10.00, , , ,29, ,-1.7, ,23, ,-4.8, ,9, ,-12.8, , 43, , 0, ,000, , , ,29.79, , , , , ,30.17, ,AA, , , ,30.16, 
14745,20100202,1551,11,CLR, ,10.00, , , ,30, ,-1.1, ,24, ,-4.4, ,9, ,-12.8, , 41, , 0, ,000, , , ,29.78, ,6, ,006, ,30.17, ,AA, , , ,30.15, 
14745,20100202,1651,11,OVC100, ,10.00, , , ,27, ,-2.8, ,22, ,-5.5, ,9, ,-12.8, , 47, , 3, ,160, , , ,29.80, , , , , ,30.19, ,AA, , , ,30.17, 
14745,20100202,1751,11,OVC100, ,10.00, , , ,26, ,-3.3, ,21, ,-5.9, ,9, ,-12.8, , 48, , 3, ,120, , , ,29.78, , , , , ,30.17, ,AA, , , ,30.15, 
14745,20100202,1851,11,BKN090, ,10.00, , , ,24, ,-4.4, ,20, ,-6.4, ,11, ,-11.7, , 58, , 0, ,000, , , ,29.79, ,1, ,002, ,30.18, ,AA, , , ,30.16, 
14745,20100202,1951,11,OVC100, ,10.00, , , ,22, ,-5.6, ,19, ,-7.3, ,10, ,-12.2, , 60, , 0, ,000, , , ,29.78, , , , , ,30.16, ,AA, , , ,30.15, 
14745,20100202,2051,11,BKN100 OVC110, ,10.00, , , ,23, ,-5.0, ,20, ,-6.8, ,11, ,-11.7, , 60, , 0, ,000, , , ,29.78, , , , , ,30.16, ,AA, , , ,30.15, 
14745,20100202,2151,11,BKN085, ,10.00, , , ,22, ,-5.6, ,19, ,-7.2, ,11, ,-11.7, , 63, , 5, ,150, , , ,29.77, ,6, ,007, ,30.15, ,AA, , , ,30.14, 
14745,20100202,2251,11,BKN080 OVC100, ,10.00, , , ,20, ,-6.7, ,18, ,-8.0, ,11, ,-11.7, , 68, , 0, ,000, , , ,29.75, , , , , ,30.14, ,AA, , , ,30.12, 
14745,20100202,2351,11,BKN070 OVC095, ,10.00, , , ,19, ,-7.2, ,17, ,-8.2, ,12, ,-11.1, , 74, , 0, ,000, , , ,29.74, , , , , ,30.13, ,AA, , , ,30.11, 
14745,20100203,0051,11,FEW075 OVC095, ,10.00, , , ,16, ,-8.9, ,15, ,-9.3, ,13, ,-10.6, , 88, , 0, ,000, , , ,29.72, ,8, ,015, ,30.11, ,AA, , , ,30.09, 
14745,20100203,0151,11,OVC085, ,10.00, , , ,17, ,-8.3, ,16, ,-8.9, ,13, ,-10.6, , 84, , 0, ,000, , , ,29.72, , , , , ,30.11, ,AA, , , ,30.09, 
14745,20100203,0251,11,BKN075 OVC090, ,10.00, , , ,18, ,-7.8, ,17, ,-8.5, ,13, ,-10.6, , 81, , 0, ,000, , , ,29.72, , , , , ,30.10, ,AA, ,  T, ,30.09, 
14745,20100203,0351,11,BKN046 OVC055, , 4.00, ,-SN, ,18, ,-7.8, ,17, ,-8.5, ,13, ,-10.6, , 81, , 0, ,000, , , ,29.71, ,8, ,005, ,30.09, ,AA, ,  T, ,30.08, 
14745,20100203,0451,11,BKN041 OVC055, , 4.00, ,BR, ,18, ,-7.8, ,17, ,-8.3, ,14, ,-10.0, , 84, , 0, ,000, , , ,29.70, , , , , ,30.09, ,AA, ,  T, ,30.07, 
14745,20100203,0551,11,BKN055 OVC075, , 6.00, ,BR, ,17, ,-8.3, ,16, ,-8.7, ,14, ,-10.0, , 88, , 0, ,000, , , ,29.69, , , , , ,30.08, ,AA, , , ,30.06, 
